client_id,name,age,occupation,estimated_income,bank_loans,bank_deposits,total_deposits,total_assets
IND45135,"Benjamin Boyd",61,Editor,151227.36,455965,212193.82,582302.73,176977.11
IND72586,"Craig Wagner",48,"Analog Circuit Design manager",401412.67,1511485,827446.85,1776374.6300000001,449840.82
IND80929,"Mary Austin",35,"VP Marketing",263452.26,0,687595.13,1509962.41,280869.06
IND40714,"Steven Wilson",21,"Senior Editor",404760.25,1022753,425498.09,847750.8400000001,446102.58999999997
IND48405,"Joe Lawrence",23,"Civil Engineer",122608.89,248996,167320.36,428906.95,154554.11
IND52634,"Willie Price",24,"Media Manager I",72688.95,44247,47024.48,112971.32,78292.97
IND18163,"Kevin Perez",50,Nurse,96295.61,311473,193153.03,410817.52999999997,120282.44
IND94008,"Ruth Cook",20,"Accountant III",127182.69,92065,781027.69,1555950.5599999998,137799.78
IND53034,"Bruce Vasquez",49,"Senior Quality Engineer",86309.17,184130,136811.36,260331.70999999996,105397.59
IND91806,"Joe Lawrence",42,"Engineer IV",39039.16,429796,217684.78,594467.8400000001,74819.46
IND25702,"Christopher Cox",76,"Administrative Assistant IV",302021.94,1259346,462110.27,697583.6000000001,307929.14
IND67912,"Russell Lawson",66,"Internal Auditor",274381.44,665570,1124343.31,2084686.4100000001,301337.42
IND76171,"Jacqueline Williamson",42,"Software Test Engineer III",122710.9,763333,129332.34,269134.27,142720.06
IND34798,"Craig Myers",29,"VP Accounting",120617.67,575222,588831.44,1183865.29,135643.35
IND93920,"Paul Riley",22,"Statistician I",108847.47,129403,257681.31,747645.0100000001,116240.94
IND18628,"Patrick Ruiz",36,"Accountant II",93309.6,695931,858197.4,1376594.3800000001,115434.3
IND42134,"Ann Henderson",35,"Biostatistician III",131076.39,256673,325915.34,649302.51,144807.83000000002
IND92265,"George Nguyen",84,"Information Systems Manager",83441.32,322636,198962.55,371792.85000000003,85614.6
IND77317,"Michael Perkins",48,"Programmer Analyst II",359386.37,1546378,1190649.75,2301667.02,364142.45
IND60176,"Eugene Ryan",25,"Accounting Assistant IV",113118.57,641965,1029868.13,1726861.89,125279.07
IND51597,"Janet Gordon",20,"Programmer Analyst IV",110102.32,37757,136175.35,385190.73,122357.86000000002
IND33238,"Ruby Oliver",79,"Health Coach IV",343198.66,140801,758995.41,1659156.4100000001,370721.54
IND18364,"Peter Riley",24,"Computer Systems Analyst IV",139310.32,252781,94179.54,244800.79,176943.22
IND92467,"Philip Hanson",32,"Speech Pathologist",89269.83,32037,199933.91,553709.3400000001,107646.03
IND60476,"Carolyn Ross",76,"Statistician IV",75161.91,557461,25563.15,72242.44,89073.15000000001
IND61025,"Pamela Bailey",40,Paralegal,124589.37,124047,346256.75,898454.97,147886.91
IND55955,"Shirley Chavez",43,Editor,435632.17,424214,71187.94,215119.06,472711.02999999997
IND75964,"Daniel Harris",71,"Programmer Analyst IV",88221.82,918742,542037,1062158.93,100348.77
IND17939,"Ryan Gray",29,"Civil Engineer",48788.15,1099020,1385972,2288566.43,79130.09
IND49363,"Phillip Morales",66,"Administrative Officer",324199.84,557908,507996.38,965020.65,351848.23000000004
IND93355,"Henry Wood",61,"Health Coach III",282658.49,436116,989380.39,1786268.1300000001,313309.73
IND65845,"Norma Austin",24,"Administrative Officer",274736.56,702015,147575.13,422127.52999999997,320161.36
IND26284,"Kathryn Johnson",23,"Systems Administrator IV",147339.86,245108,149314.45,329593.05,174369.52999999997
IND24774,"Dennis Berry",48,"Budget/Accounting Analyst I",81683.44,418825,959454.45,1715681.5899999999,105264.34
IND12731,"Rachel Adams",26,"Senior Financial Analyst",76005.3,495740,606032.72,1139307.0399999998,116645.9
IND93115,"Adam Robertson",70,"Software Test Engineer II",206026.56,818737,630729.9,1422486.28,209120.76
IND85411,"Jack Morrison",85,"Product Engineer",288440.81,397326,265216,713231.8200000001,294377.93
IND58620,"Raymond Collins",37,"Staff Scientist",57825.32,627598,972403.54,1769495.18,104850.45999999999
IND86466,"John Hart",31,"Systems Administrator IV",412837.04,927808,1251565.58,2227160.2500000005,475031.63999999996
IND67594,"Christina Alvarez",85,"Data Coordiator",130272.52,230292,124809.29,273718.93999999994,150877.89
IND34060,"Rebecca Perkins",37,"Assistant Professor",360800.21,338783,34504.45,116273.91,379038.69
IND93556,"Jonathan Hanson",71,"Dental Hygienist",35234.55,144621,441638.95,837291.3599999999,50613.450000000004
IND98512,"Christine Graham",72,"Account Representative I",95828.94,312520,267545.78,600120.9600000001,105288.73000000001
IND52571,"Katherine Young",35,"Health Coach II",146788.5,122986,640602.91,1259698.2500000002,186623
IND37643,"Jeremy Freeman",56,"Help Desk Operator",70386.82,1229596,325521.19,642311.9,120139.6
IND54218,"Joseph Butler",19,"Administrative Assistant II",54632.7,60366,90680.46,208409.42,60794.1
IND61793,"Brian Smith",26,"Staff Accountant III",390608.46,1303393,81313.25,208172.77,442268.46
IND36608,"Kimberly Schmidt",34,"Account Representative I",209330.69,469558,185097.77,448307.46,221981.48
IND48488,"Carol Warren",75,"Mechanical Systems Engineer",112683.73,832862,1070053.58,1986292.0300000003,117844.93
IND67225,"Jean Austin",68,"Registered Nurse",231396.28,113523,569570.56,1406224.36,271778.92
IND82919,"John Simpson",62,"Staff Accountant III",49986.85,181563,94786.29,175608.78999999998,69258.31
IND77016,"Heather Phillips",83,"Automation Specialist III",179434.37,391545,224823.63,614815.53,184192.13
IND75034,"Doris James",30,"VP Product Management",111485.6,109519,386551.75,826819.2,127266.36
IND90860,"Anna Welch",51,"Business Systems Development Analyst",131121.99,738628,628660.2,1478879.9200000002,164197.97999999998
IND73867,"Jack Harris",32,"Accountant II",224722.41,1398447,378083.17,715013.72,244110.46
IND27930,"Joshua Porter",22,Teacher,82651.24,172492,780674.58,1235809.65,92001.88
IND35620,"Anna Duncan",58,"Marketing Assistant",21090.76,149158,60794.5,141877.21,25205.079999999998
IND91353,"Mark Garza",31,"Human Resources Assistant I",337249.36,484230,678377.59,1341187.2999999998,356546.06
IND97689,"Paula Ray",57,"Structural Engineer",107655.52,624915,405753.4,1007306.5700000001,146059.54
IND77331,"Rebecca Murray",64,"Programmer Analyst IV",224839.07,816590,469279.74,1314973.22,229712.58000000002
IND71401,"Michelle Rose",82,"Research Associate",84089.47,237269,28379.41,82726.16000000002,92107.87
IND66104,"George Thomas",84,"Quality Control Specialist",246327.38,878593,74747.86,209469.96000000002,274395.38
IND36471,"Carlos Martin",24,"Environmental Specialist",157380.5,1017636,1236148.34,2111380.25,161690.26
IND81572,"Christopher West",19,"Automation Specialist II",94278.19,135262,908877.7,2107323.98,114258.94
IND94055,"Joan Bishop",48,"Administrative Assistant IV",439472.87,858151,329460.18,831721.3699999999,475858.82
IND88778,"Albert Bryant",17,"Structural Analysis Engineer",309468.8,801631,822290.12,1714245.6300000001,334461.95
IND68221,"Paula Perkins",61,"Programmer I",384142.67,572901,270551.98,661343.1799999999,418841.23
IND58681,"Andrew Williams",73,"Software Test Engineer II",107365.62,172397,137641.66,296684.24,121773.78
IND54970,"Amy Ryan",28,"Structural Analysis Engineer",128148.71,121834,34050.76,107430,140829.95
IND26450,"Albert Cruz",81,"Statistician I",208965.85,511241,557088.29,1096195.98,262873.47000000003
IND28733,"Chris Larson",74,"Speech Pathologist",50054.16,276228,91304.24,198060.77,54576.060000000005
IND91334,"Sean Myers",49,Pharmacist,29125.26,723574,285173.39,514393.30000000005,57242.649999999994
IND61397,"Carol Duncan",74,"Developer I",60970.29,196013,502813.34,953023.4000000001,79902.77
IND65691,"George Price",43,Paralegal,133180.88,510993,691698.96,1211933.26,160804.34
IND19666,"John Daniels",50,"Web Developer II",71186.04,1267067,453483.46,800714.91,84942.9
IND76794,"Carolyn Tucker",74,"Payment Adjustment Coordinator",111956.47,556783,258024.28,578746,136632.14
IND77195,"Bruce Banks",83,"Information Systems Manager",175192.75,777960,1118146.53,2183159.3,225932.99
IND36167,"Norma Sanchez",57,"Account Coordinator",148469.07,96668,253711.48,671843.0800000001,192240.59
IND76489,"Tina Franklin",40,"Account Executive",288372.7,1369221,297694.66,618112.6099999999,296047.5
IND23438,"Lillian Ellis",21,"Software Test Engineer IV",266530.81,467687,834515.64,1452014.95,288521.11
IND82705,"Andrew Long",27,"Social Worker",78054.21,443193,698949.39,1216230.2100000002,96759.21
IND67912,"Mildred Patterson",56,"Senior Financial Analyst",189555.93,457332,64132.44,208079.63,212240.94999999998
IND33202,"Fred Ford",82,"Engineer IV",58989.7,238670,840089.65,1295572.4999999998,70951.78
IND19321,"Maria Gardner",69,"Engineer IV",192727.18,703469,1110950.29,1888383.5799999998,212680.88
IND81583,"Judith Matthews",64,"Media Manager I",258577.76,372833,502106.34,1144975.84,296246.48
IND46105,"Jack Sullivan",38,"Statistician III",456100.04,348975,461512.76,1118406.5699999998,513423.67
IND21098,"Jason Woods",83,"Community Outreach Specialist",238781.13,916635,1211730.47,2314621.2199999997,277157.55
IND47710,"Jesse Richards",41,"Financial Advisor",339802.57,389703,254722.43,619249.1699999999,399089.7
IND42043,"William Cruz",40,"Health Coach IV",138500.69,777275,2426964.89,3776235.29,170408.53
IND49707,"Gary Garcia",36,Actuary,385028.64,926134,436763.03,1045068.88,415966.24
IND27394,"Nancy James",50,"Research Nurse",147230.17,431462,86604.91,226085.17,166494.05000000002
IND86832,"Laura Gray",68,"Analyst Programmer",131962.8,547004,561714.63,1267463.07,142222.47
IND34869,"Shawn Lane",50,"Engineer III",173052.06,85486,289060.89,529357.17,208370.58
IND24876,"Albert Woods",31,"Research Assistant II",144729.34,546156,399326.74,663796.3899999999,175704.13
IND87901,"Daniel Welch",79,"Web Designer III",259866.83,442798,968239.86,1919420.41,289653.57
IND56584,"Barbara Gomez",30,"Information Systems Manager",277568.27,1238072,389773.14,832131.05,282880.77
IND43476,"Richard Reynolds",42,"Systems Administrator III",105030.5,520453,887296.88,1404784.25,108973.38
IND92423,"Larry Kelley",24,"Research Assistant I",46666.15,892920,1138431.29,2026229.27,65365
IND64291,"Victor Black",65,"Media Manager III",36972.06,117948,1192095.13,2159131.7,46051.74
IND49463,"Shawn Bennett",49,"Media Manager II",26263.14,210489,272517.77,473605.18,32489.7
IND58198,"Jeffrey James",69,"Senior Financial Analyst",150128.79,700025,143853.26,262482.55000000005,154269.71000000002
IND90041,"Richard Sanchez",55,"Developer II",287122.28,250881,553397.32,1243717.3399999999,302911.72000000003
IND55402,"Howard Simmons",70,"Automation Specialist IV",63251.04,495320,433211.84,839462.24,83093.98
IND58643,"Lillian Fisher",33,"Software Engineer IV",341966.25,621046,149507.53,361638.39,403503.96
IND17528,"Bobby Bradley",66,"Quality Engineer",156213.39,1646375,1628718.42,2875764.5599999996,176439.87000000002
IND98400,"Mark Henderson",28,"Speech Pathologist",94158.33,390594,370924.28,982944.86,142287.93
IND43327,"Juan Hamilton",74,"Human Resources Assistant IV",38120.11,69403,435733.32,872528.2100000001,60694.68
IND77723,"Bruce Peterson",65,"Tax Accountant",91644.67,240786,310811.18,624572.99,101761.31
IND33585,"Philip Cox",64,"VP Marketing",247618.12,1703778,2568583.27,4318157.37,280617.5
IND27105,"Bruce Greene",43,"Database Administrator I",37071.94,356463,508775.28,947937.39,65958.82
IND86081,"Alice Gibson",22,"Marketing Manager",502742.17,1099620,397889.37,866811.46,553950.29
IND47439,"Samuel Myers",51,"Office Assistant II",127957.23,399715,615891.1,1159145.93,133432.78
IND27269,"Kathleen Bradley",75,"VP Quality Control",137103.46,952802,274935.74,589526.1599999999,187629.9
IND97061,"Bobby Ryan",50,"Chemical Engineer",84376.77,619021,223021.79,445023.3300000001,105126.51000000001
IND94872,"Steven Miller",34,"Programmer Analyst IV",59749.61,582924,410333.54,874496.23,66925.15
IND86593,"Gregory Johnston",73,"Web Developer I",93315.7,458715,0,37508.14,123374.65
IND84908,"Craig Bell",63,"Safety Technician I",143176.05,865089,636679.19,1110687.8199999998,162571.65
IND32885,"Stephanie Mills",77,"Budget/Accounting Analyst II",282572.6,126526,238663.83,438397.44999999995,296899.20999999996
IND70495,"Melissa GoPKRales",66,"Chief Design Engineer",85918.91,173600,448356.37,1023415.76,94058.65000000001
IND45220,"Donald Alexander",73,"Civil Engineer",61641.57,62057,211125.77,454601.77,66146.21
IND49684,"Ralph Cunningham",70,"Web Designer I",69503.13,246309,247751.56,592677.85,98300.97
IND26273,"Gregory Cunningham",55,"Product Engineer",42693.61,551527,622135.23,1114806.57,50901.97
IND99234,"Diana Meyer",85,"Systems Administrator IV",172604.84,291661,550490.75,1383516.7599999998,230546.47999999998
IND41611,"Terry Bowman",34,"VP Accounting",216551.65,117005,1510274.84,2602883.4499999997,222843.46
IND96915,"Mary Arnold",81,"Product Engineer",140652.04,70600,346514.66,760416.79,160491.68
IND59595,"Charles Porter",81,"Social Worker",61720.63,218865,606812.23,1023631.1,67971.94
IND20812,"Jason Morgan",47,"Budget/Accounting Analyst IV",45492.89,938755,972009.25,1692804.81,70507.88
IND59202,"Kathryn Campbell",41,"VP Sales",363577.73,731053,508649.83,1221111.16,415012.07999999996
IND19395,"Jeremy Fowler",52,"Administrative Assistant II",40912.44,90457,424422,697278.3400000001,67098.84
IND38441,"Stephen Stewart",73,"Business Systems Development Analyst",204136.69,898207,609009.52,1051470.09,242858.94
IND80195,"Jane Price",31,"Civil Engineer",52754.1,561274,620849.97,1167962.67,74147.5
IND90057,"Roy Snyder",17,"Office Assistant I",125007.58,1361520,1503846.78,2754892.93,154770.7
IND21309,"Joshua Wheeler",81,"Web Designer I",66270.49,227862,84598.86,188676.30000000002,69495.96
IND33489,"Thomas Barnes",64,"Marketing Manager",59368.37,730796,578948.64,960410.54,89735.72
IND27091,"Rose Myers",47,"Tax Accountant",155282.28,400839,223771.21,522606.70999999996,177697.39
IND37844,"Scott Patterson",22,"Food Chemist",273718.71,569916,1711330.15,2640809.59,311611.99
IND47299,"Carl Price",58,"Database Administrator III",30131.15,205067,151071.08,400585.35,41539.36
IND19507,"Benjamin Wood",30,"Administrative Officer",352767.12,321637,219305.24,553455.66,370834.62
IND73841,"Carlos Ray",66,"Automation Specialist III",230627.76,1583634,1933423.95,3428299.8800000004,263831.94
IND79955,"Beverly Arnold",28,"Office Assistant II",132987.89,632022,242511.71,544839.97,148476.27000000002
IND95385,"Johnny Campbell",79,"Assistant Manager",408054.76,1143818,395367.36,890710.74,474863
IND73492,"Lori Wilson",81,"Geologist I",397666.92,483400,512980.16,1365376.9999999998,439495.98
IND38646,"Mildred Mason",70,Actuary,127187.15,277278,87108.72,214777.49,158129.52
IND89482,"Sean Hernandez",40,"Health Coach I",55548.39,244695,178785.1,448854.99,62923.29
IND27026,"Wanda Henderson",57,"Human Resources Assistant I",90398.53,721798,284911.58,793639.03,99189.73
IND69949,"James Payne",51,"Systems Administrator IV",88518.57,631313,490144.28,893807.06,96410.41
IND84825,"Christina Powell",48,"Developer III",235108.2,94869,629217.11,1322661.4,262706.34
IND41067,"Louis Ramirez",45,"Office Assistant I",242843.25,992141,1241580.58,2191024.74,254233.87
IND98674,"Jesse Rice",39,Paralegal,88405.39,399898,372862,902246.8200000001,104191.07
IND97660,"Anne Burton",65,"Developer I",83318.53,83783,131201.58,297382.45,95759.05
IND82676,"Chris Wallace",78,"Computer Systems Analyst II",33648.25,703437,53513.77,135267.32,40827.01
IND88784,"Joshua Webb",34,"Web Developer I",280981.59,1008926,1536138.39,2858237.05,328092.93000000005
IND28479,"Betty Hall",53,"Safety Technician III",170220.87,61734,773797.13,1430496.15,199575.69
IND23784,"Robert Simmons",22,"Statistician IV",59538.68,137346,958605.57,1464327.7299999997,73170.74
IND42646,"Chris Ross",17,Recruiter,140111.66,353092,977415.21,1711184.56,161159.54
IND53717,"Rebecca Bowman",50,"Junior Executive",100505.78,55288,61603.09,194960.86,145785.77
IND96295,"Tina Smith",48,"Executive Secretary",407658.87,413765,2064017.38,3892184.86,453769.47
IND41811,"Phillip Ramirez",65,Librarian,218227.83,901417,950183.96,1634590.27,225218.56999999998
IND45638,"Timothy Johnston",26,"Geologist II",131425.91,191480,96516.79,267738.82999999996,151060.7
IND70297,"Matthew Snyder",38,"Web Developer I",177985.98,931663,873130.82,1813695.64,192026.96000000002
IND79201,"Christine Allen",52,"Human Resources Assistant I",81564.54,916379,369789.85,788389.32,111868.94
IND17019,"Charles Richards",28,"Assistant Manager",241251.12,328691,717212.31,1550651.6300000001,303037.02
IND20282,"Timothy Tucker",23,"Programmer Analyst III",86087.84,776496,1721388.65,2551645.85,88062.16
IND30151,"Jose Thomas",65,"Statistician IV",280477.31,425875,1141059.62,1842488.64,333757.31
IND45419,"Bobby Kim",75,"Health Coach IV",95144.48,168792,311802.7,563609.7100000001,108699.08
IND78162,"Nicole Sanchez",75,"Media Manager III",236297.5,360708,104336.33,251542.24,242069.02
IND66784,"Adam Cook",33,"Developer II",90635.48,780487,505712.98,914191.88,108983.81
IND97262,"Angela Gilbert",72,"Software Engineer II",43925.33,262499,449640.36,1119657.84,60444.39
IND33193,"Scott Ward",27,"Accountant IV",80157.37,0,502316.84,1014546.5200000001,101660.61
IND94106,"Steve Price",49,"Help Desk Technician",70540.2,63479,515950.02,1134947.43,82060.15
IND15556,"Lawrence Morales",22,Paralegal,252385.91,186590,2709947.02,4037678.55,308190.12
IND20631,"Catherine Weaver",50,"Associate Professor",156566.48,331847,281503.39,691363.7200000001,178319.28
IND13898,"Evelyn Taylor",70,"Nuclear Power Engineer",75764.58,158798,934525.89,1593451.8900000001,91339.62
IND46880,"Judith Schmidt",71,"Analog Circuit Design manager",204271.89,172854,89494.09,237213.47999999998,248291.93000000002
IND57163,"Philip Hansen",74,"Staff Accountant III",201648.22,107662,621905.52,1641789.77,216052.78
IND42982,"Anthony Wagner",41,"Biostatistician III",315314.03,296790,213338.18,552181.08,359743.63
